"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"Gemini 3.1 Pro (high)","85.68","75.02","12.45%","+5.8%","200","23314","¥54.05","¥82.80","26-02-19","1"
"GPT-5.4 (high)","83.14","78.85","5.17%","-","289","17947","¥52.01","¥103.50","26-03-06","1"
"Claude Opus 4.6(Think)","81.19","77.23","4.87%","-","419","31584","¥152.55","¥172.50","26-02-06","1"
"Doubao-Seed-2.0-pro  (high)","75.47","68.36","9.42%","+23.3%","561","36187","¥16.21","¥16.00","26-02-14","1"
"Gemini 3 Flash (high)","74.30","65.29","12.12%","+65%","223","43909","¥25.45","¥20.70","25-12-18","1"
"Kimi-K2.5 (Think)","72.39","59.56","17.72%","-","463","30410","¥17.88","¥21.00","26-01-27","1"
"GLM-5(Think)","68.26","55.08","19.31%","+6.9%","960","24629","¥12.41","¥18.00","26-02-11","1"
"Grok 4.20 Beta(Think)","65.56","54.03","17.59%","+19.2%","84","18681","¥21.66","¥41.40","26-03-12","1"
"Qwen3.5-Plus(Think)","65.46","51.81","20.85%","-","230","19560","¥2.63","¥4.80","26-02-16","1"
"GPT-5.4 Mini(high)","64.91","54.45","16.11%","-10.5%","226","28065","¥24.40","¥31.05","26-03-18","1"
"MiniMax-M2.7","64.53","49.52","23.27%","-","649","34818","¥8.19","¥8.40","26-03-18","1"
"Claude Opus 4.6","64.51","53.93","16.41%","+42.5%","114","9776","¥47.22","¥172.50","26-02-06","0"
"Claude Sonnet 4.5(Think)","64.43","52.81","18.04%","+29%","232","14433","¥41.83","¥103.50","25-09-29","1"
"Qwen3-Max 0123 (Think)","63.30","58.98","6.83%","+14.1%","758","30411","¥8.52","¥10.00","26-01-27","1"
"DeepSeek V3.2-1201(Think)","61.35","47.40","22.73%","+19%","621","19151","¥1.61","¥3.00","25-12-01","1"
"Qwen3.5-27B(Think)","57.83","47.86","17.24%","-","365","25484","¥3.43","¥4.80","26-02-25","1"
"Step-3.5-Flash","52.96","39.99","24.50%","+70.9%","232","37304","¥2.19","¥2.10","26-02-02","1"
"LongCat-Flash-Thinking-2601","52.09","37.69","27.65%","-","462","35886","-","-","26-01-23","1"
"Qwen3.5-Flash(Think)","51.34","36.36","29.18%","-","155","26414","¥1.48","¥2.00","26-02-25","1"
"Qwen3.5-Plus","49.15","39.29","20.06%","-","132","7578","¥1.02","¥4.80","26-02-16","0"
"ERNIE 5.0","48.28","32.15","33.41%","+14.9%","784","21735","¥14.61","¥24.00","26-01-20","1"
"gpt-oss-120b(high)","47.94","34.08","28.91%","-","112","12518","¥1.21","¥3.45","25-08-05","1"
"Gemini 3.1 Flash Lite (high)","46.67","33.87","27.43%","-","96","45344","¥13.14","¥10.35","26-03-03","1"
"Qwen3-Max 0123","46.47","35.65","23.28%","+5.8%","156","5613","¥1.57","¥10.00","26-01-27","0"
"MiMo-V2-Pro","46.30","34.22","26.09%","-","316","20395","¥11.99","¥21.00","26-03-19","1"
"MiMo-V2-Flash 0204(Think)","44.84","33.35","25.62%","-4%","173","24692","¥1.45","¥2.10","26-02-12","1"
"Tencent HY 2.0 Think","41.61","33.22","20.17%","32.1%","248","15736","¥1.76","¥4.00","25-12-05","1"
"Claude Sonnet 4.6","40.77","29.38","27.95%","+91.5%","39","3068","¥9.28","¥108.00","26-02-17","0"
"Doubao-Seed-2.0-pro","37.94","29.38","22.57%","+44.2%","34","2148","¥0.96","¥16.00","26-02-14","0"
"DeepSeek V3.2-1201","37.69","25.32","32.82%","+46.5%","113","3451","¥0.29","¥3.00","25-12-01","0"
"Ling-2.5-1T","37.46","29.89","20.21%","+48.4%","223","7644","¥3.42","¥16.00","26-02-16","0"
"GLM-5","36.42","28.98","20.44%","-","74","2850","¥1.44","¥18.00","26-02-11","0"
"讯飞星火X2","34.85","25.04","28.16%","-","594","14668","¥0.82","¥2.00","26-02-11","1"
"Kimi-K2.5","34.28","23.22","32.24%","+5.5%","56","2307","¥1.36","¥21.00","26-01-27","0"
"Gemini 3 Flash","33.53","28.72","14.36%","+39.5%","10","1248","¥0.72","¥20.70","25-12-18","0"
"Qwen3.5-Flash","30.95","21.57","30.32%","-","43","7869","¥0.44","¥2.00","26-02-25","0"
"Gemini 3.1 Flash Lite","24.77","23.40","5.52%","-","5","1062","¥0.31","¥10.35","26-03-03","0"
"Mistral Large 3","22.23","15.84","28.74%","+29.9%","58","2650","¥0.77","¥10.35","25-12-03","0"
"GLM-4.7 Flash","19.95","11.98","39.94%","-","103","1907","-","-","26-01-20","0"
"Ling-flash-2.0","18.90","13.95","26.17%","-","169","8225","¥0.92","¥4.00","25-09-18","0"
"MiMo-V2-Flash 0204","16.88","10.30","38.96%","-23.9%","39","5255","¥0.31","¥2.10","26-02-12","0"
"Grok 4.20 Beta","8.43","5.95","29.44%","-50.3%","5","599","¥0.69","¥41.40","26-03-12","0"
